system:index,B11,B3,B3_20m,B4,B4_20m,B8,B8_20m,CLP,CLP_20m,EPSG,NDSI_20m,NDVI,NDVI_20m,doi,kNDVI,kNDVI_20m,lat,long,name,year,.geo
20180613T210021_20180613T210020_T07WET_3,706,4287,3682,4783,3982,4142,3752,2,3,32607,0.6782133090246126,-0.07182072829131653,-0.02973881561934316,164,0.005158171264206721,8.843969238618279E-4,69.57515,-138.89453,Phenocam4,2018,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
20180613T210021_20180613T210020_T07WET_4,2408,1928,1921,1957,1960,2411,2402,94,93,32607,-0.1124971124971125,0.10393772893772894,0.10132966529115085,164,0.010802631256323471,0.01026734025675858,69.57651,-138.86711,Phenocam5,2018,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
20180613T210021_20180613T210020_T07WET_5,2446,2011,2015,2143,2137,2667,2674,92,93,32607,-0.09661510872001794,0.10893970893970895,0.11161920598628144,164,0.011867303034628846,0.012458202552350797,69.57483,-138.86305,Phenocam6,2018,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
20180614T212519_20180614T212520_T07WET_0,1411,1390,1411,1369,1345,1601,1623,52,62,32607,0.0,0.07811447811447811,0.09366576819407008,165,0.006101795962224789,0.008773051044200045,69.5756,-138.9046,Phenocam1,2018,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
20180614T212519_20180614T212520_T07WET_1,1588,1426,1418,1345,1358,1725,1692,70,72,32607,-0.056553559547571526,0.1237785016286645,0.10950819672131147,165,0.015319918768774766,0.011991470326958641,69.5757,-138.90525,Phenocam2,2018,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20180614T212519_20180614T212520_T07WET_2,2142,1504,1520,1573,1577,2124,2128,86,89,32607,-0.16985253959584926,0.1490397619691642,0.14871794871794872,165,0.022209198015742507,0.022113422699503286,69.57781,-138.91277,Phenocam3,2018,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
20180614T212519_20180614T212520_T07WET_3,1002,1633,1780,1585,1735,1528,1774,7,21,32607,0.2796549245147376,-0.01831031159653068,0.011114277571957822,165,3.352674982002093E-4,1.2352716531822592E-4,69.57515,-138.89453,Phenocam4,2018,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
20180614T212519_20180614T212520_T07WET_4,2320,1670,1653,1634,1648,2053,2027,90,89,32607,-0.1678832116788321,0.11364252780037971,0.10312925170068027,165,0.012913906173397657,0.01063524155087424,69.57651,-138.86711,Phenocam5,2018,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
20180614T212519_20180614T212520_T07WET_5,2146,1828,1822,1928,1929,2239,2265,93,93,32607,-0.08165322580645161,0.07463402927765779,0.08011444921316166,165,0.005570180716641244,0.006418236840105087,69.57483,-138.86305,Phenocam6,2018,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
20180616T211511_20180616T211512_T07WET_0,2719,2266,2323,2189,2192,3030,3087,91,92,32607,-0.07854026180087267,0.1611419812224564,0.16953968554650503,167,0.025960903475561622,0.028735791568555862,69.5756,-138.9046,Phenocam1,2018,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
20180616T211511_20180616T211512_T07WET_1,2698,2281,2170,2096,1969,3195,3111,90,92,32607,-0.10846343467543139,0.2077112077112077,0.2248031496062992,167,0.043117196344148914,0.05049347773034173,69.5757,-138.90525,Phenocam2,2018,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20180616T211511_20180616T211512_T07WET_2,3226,2108,2129,2243,2282,3288,3283,80,82,32607,-0.20485527544351073,0.18893509311155307,0.17987421383647798,167,0.03568131520130873,0.03234344757408022,69.57781,-138.91277,Phenocam3,2018,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
20180616T211511_20180616T211512_T07WET_3,2303,3119,3218,3313,3429,3463,3609,78,75,32607,0.16573084586125703,0.022136953955135773,0.02557544757033248,167,4.90044691184731E-4,6.5410342513647E-4,69.57515,-138.89453,Phenocam4,2018,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
20180616T211511_20180616T211512_T07WET_4,3015,2715,2733,2945,2902,3372,3364,89,90,32607,-0.049060542797494784,0.06759537755263574,0.07373124800510693,167,0.004569103270145195,0.005436243379474839,69.57651,-138.86711,Phenocam5,2018,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
20180616T211511_20180616T211512_T07WET_5,2872,3049,3189,3488,3543,3632,3724,91,83,32607,0.052301600395974264,0.020224719101123594,0.024907114352552634,167,4.090392399068102E-4,6.203642657883422E-4,69.57483,-138.86305,Phenocam6,2018,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
20180617T213529_20180617T213527_T07WET_0,2049,1309,1285,1239,1244,1854,1900,61,76,32607,-0.22915416916616677,0.1988360814742968,0.20865139949109415,168,0.03951520098776409,0.04350792266828643,69.5756,-138.9046,Phenocam1,2018,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
20180617T213529_20180617T213527_T07WET_1,2229,1308,1294,1290,1295,2039,1989,82,84,32607,-0.2653988078342322,0.2249924902373085,0.2113276492082826,168,0.050578424820217446,0.04462970854436882,69.5757,-138.90525,Phenocam2,2018,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20180617T213529_20180617T213527_T07WET_2,2565,1343,1327,1428,1415,2332,2312,22,24,32607,-0.3180883864337102,0.2404255319148936,0.24067614703514892,168,0.05774014065599986,0.057860309198236815,69.57781,-138.91277,Phenocam3,2018,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
20180617T213529_20180617T213527_T07WET_3,1689,1397,1442,1267,1373,1504,1701,56,53,32607,-0.07888853401469179,0.08552869000360881,0.10670136629798309,168,0.0073150263348081435,0.011384689670661786,69.57515,-138.89453,Phenocam4,2018,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
20180617T213529_20180617T213527_T07WET_4,2596,1427,1424,1449,1437,2070,2014,77,74,32607,-0.2915422885572139,0.17647058823529413,0.1671979136482179,168,0.031131805122095093,0.027947862382759724,69.57651,-138.86711,Phenocam5,2018,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
